data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-06-02,202423,57.0,3,598,0,4.680434e-09,21.380907,0,1,352050920242319884,2024-06-10,,0.42133123,266593,13.22635,82.6953,0,0,2,68.56465,45.99925,18.1142,25.39215,0.0,,,,,8465
2024-05-26,202422,59.0,6,492,1,0.0,22.131113,0,4,352050920242219884,2024-06-10,,0.29014513,266593,12.632644,93.1353128571428,0,0,2,80.610192,59.6973334285714,15.8507308571429,20.3913281428571,1.0,,,,,8465
2024-05-19,202421,87.5,43,360,37,1.110223e-16,32.821568,0,4,352050920242119884,2024-06-10,,0.37938035,266593,17.3433628571429,89.0533441428571,0,0,2,70.6258657142857,47.3877594285714,21.3273637142857,26.9788131428571,37.0,,,,,8465
2024-05-12,202420,294.0,246,501,239,0.67227876,110.280464,0,4,352050920242019884,2024-06-10,,1.037817,266593,17.4235684285714,83.2251842857143,0,0,2,63.8356781428571,40.421608,22.3518988571429,28.7261331428571,236.0,,,,,8465
2024-05-05,202419,203.0,164,378,159,0.0,76.146034,0,4,352050920241919884,2024-06-10,,0.5007274,266593,17.8066321428571,84.7900665714286,0,0,2,59.8997442857143,32.8906847142857,23.673715,30.7935738571429,150.0,,,,,8465
2024-04-28,202418,195.0,166,326,162,0.0,73.1452,0,4,352050920241819884,2024-06-10,,0.37571877,266593,18.4833428571429,84.6005,0,0,2,59.587,32.3828285714286,24.7824428571429,32.1916714285714,155.0,,,,,8465
2024-04-21,202417,446.0,427,528,426,0.0002974496,167.29622,0,4,352050920241719884,2024-06-10,,0.80438125,266593,17.0789285714286,90.9336571428571,0,0,2,68.2963857142857,39.4464285714286,22.685,29.8079428571429,344.0,,,,,8465
2024-04-14,202416,551.0,541,607,541,0.92457145,206.6821,0,4,352050920241619884,2024-06-10,,1.0924755,266593,19.1641285714286,90.5994428571429,1,0,2,76.1232714285714,56.8670428571429,22.2404285714286,26.7449142857143,392.0,,,,,8465
2024-04-07,202415,623.0,619,657,619,1.0,233.68956,0,4,352050920241519884,2024-06-10,,1.4044296,266593,19.3281142857143,91.6641285714286,1,1,2,77.5414285714286,57.0754714285714,23.1189571428571,28.0679285714286,449.0,,,,,8465
2024-03-31,202414,525.0,524,541,524,0.99942476,196.9294,0,4,352050920241419884,2024-06-10,,1.2354656,266593,18.6781571428571,90.5915428571429,0,1,2,69.6582428571429,41.8065142857143,23.7729142857143,30.0738,371.0,,,,,8465
2024-03-24,202413,357.0,357,357,357,0.048994914,133.91199,0,4,352050920241319884,2024-06-10,,0.88681436,266593,18.5711142857143,93.3121714285714,0,0,2,83.5771571428571,68.8926142857143,21.2503428571429,24.9143428571429,241.0,,,,,8465
2024-03-17,202412,486.0,486,486,486,0.9998663,182.30035,0,4,352050920241219884,2024-06-10,,1.2823609,266593,21.1239142857143,92.3286714285714,1,1,2,77.4345714285714,56.7713,24.7298285714286,29.658,291.0,,,,,8465
2024-03-10,202411,394.0,394,394,394,0.70937264,147.79083,0,4,352050920241119884,2024-06-10,,1.0404639,266593,20.3512571428571,92.6417285714286,1,0,2,74.1554428571429,49.6432857142857,25.2608857142857,31.4495571428571,240.0,,,,,8465
2024-03-03,202410,357.0,357,357,357,0.30574277,133.91199,0,4,352050920241019884,2024-06-10,,0.9630579,266593,20.8929571428571,91.3151142857143,1,0,2,76.4494571428571,55.1146285714286,24.7725714285714,29.9674857142857,216.0,,,,,8465
2024-02-25,202409,374.0,374,374,374,0.9941486,140.28876,0,4,352050920240919884,2024-06-10,,1.2133249,266593,21.5075142857143,91.9057714285714,1,1,2,75.5148571428571,51.9994285714286,25.6576,31.3509428571429,166.0,,,,,8465
2024-02-18,202408,426.0,426,426,426,1.0,159.79414,0,4,352050920240819884,2024-06-10,,2.017187,266593,20.5239428571429,92.4403571428571,1,1,2,79.1403571428571,60.1387714285714,24.0275857142857,28.9744857142857,166.0,,,,,8465
2024-02-11,202407,331.0,331,331,331,1.0,124.1593,0,4,352050920240719884,2024-06-10,,2.5601933,266593,21.3652857142857,86.7478571428571,1,1,2,71.4026714285714,52.8161857142857,25.1726428571429,30.2993142857143,104.0,,,,,8465
2024-02-04,202406,192.0,192,192,192,1.0,72.0199,0,4,352050920240619884,2024-06-10,,2.4013598,266593,19.9101285714286,91.0966,1,1,2,68.2985285714286,44.8266714285714,25.5715857142857,31.6425714285714,103.0,,,,,8465
